latitude,longitude,Country
47.516231,14.550072,Austria
-25.274398,133.775136,Australia
56.130366,-106.346771,Canada
-35.675147,-71.542969,Chile
35.86166,104.195397,China
49.817492,15.472962,Czech
22.396428,114.109497,Hong Kong SAR
-0.789275,113.921327,Indonesia
36.204824,138.252924,Japan
12.565679,104.990963,Cambodia
35.907757,127.766922,Korea (ROK)
22.198745,113.543873,"Macao, China"
3.202778,73.22068,Maldives
23.634501,-102.552784,Mexico
-40.900557,174.885971,New Zealand
1.352083,103.819836,Singapore
15.870032,100.992541,Thailand
38.963745,35.243322,Turkey
23.69781,120.960515,Chinese Taipei
37.09024,-95.712891,USA
19.898682,-155.665857,Hawaii
